field_1|field_2|field_3|field_4|field_5|field_6|field_7|field_8|Random|Random|Random|Random|Random|Random|Random|Random|Random|Random|Random|Random|Random|Random|Random|Random|Random
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:17|2|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:17|2|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:17|2|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:17|2|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:17|2|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:17|2|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:17|2|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:17|3|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:17|3|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:18|3|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:18|3|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:18|3|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:18|3|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:18|3|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:18|3|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:18|3|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:18|3|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:18|3|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
F1M40D180706T071453_ASDF_GH_NC|1|40|2018-07-06 07:14:53|ASDF|GH||NC|7/6/2018 7:18|3|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234|1234
